Subnet Label,Required Hosts,Network Address,Subnet Mask,Usable Range,Broadcast Address
WTG1,100,192.168.16.0,/25,"192.168.16.1 - 192.168.16.126",192.168.16.127
WTG2,100,192.168.16.128,/25,"192.168.16.129 - 192.168.16.254",192.168.16.255
WTG3,100,192.168.17.0,/25,"192.168.17.1 - 192.168.17.126",192.168.17.127
WTG4,100,192.168.17.128,/25,"192.168.17.129 - 192.168.17.254",192.168.17.255
WTG5,100,192.168.18.0,/25,"192.168.18.1 - 192.168.18.126",192.168.18.127
WTG6,100,192.168.18.128,/25,"192.168.18.129 - 192.168.18.254",192.168.18.255
WTG7,100,192.168.19.0,/25,"192.168.19.1 - 192.168.19.126",192.168.19.127
WTG8,100,192.168.19.128,/25,"192.168.19.129 - 192.168.19.254",192.168.19.255
WTG9,100,192.168.20.0,/25,"192.168.20.1 - 192.168.20.126",192.168.20.127
WTG10,100,192.168.20.128,/25,"192.168.20.129 - 192.168.20.254",192.168.20.255
WTG11,100,192.168.21.0,/25,"192.168.21.1 - 192.168.21.126",192.168.21.127
WTG12,100,192.168.21.128,/25,"192.168.21.129 - 192.168.21.254",192.168.21.255
WTG13,100,192.168.22.0,/25,"192.168.22.1 - 192.168.22.126",192.168.22.127
WTG14,100,192.168.22.128,/25,"192.168.22.129 - 192.168.22.254",192.168.22.255
WTG15,100,192.168.23.0,/25,"192.168.23.1 - 192.168.23.126",192.168.23.127
WTG16,100,192.168.23.128,/25,"192.168.23.129 - 192.168.23.254",192.168.23.255
WTG17,100,192.168.24.0,/25,"192.168.24.1 - 192.168.24.126",192.168.24.127
WTG18,100,192.168.24.128,/25,"192.168.24.129 - 192.168.24.254",192.168.24.255
WTG19,100,192.168.25.0,/25,"192.168.25.1 - 192.168.25.126",192.168.25.127
WTG20,100,192.168.25.128,/25,"192.168.25.129 - 192.168.25.254",192.168.25.255
Spine_Layer,30,192.168.26.0,/27,"192.168.26.1 - 192.168.26.30",192.168.26.31
ECP_server_cluster,100,192.168.27.0,/25,"192.168.27.1 - 192.168.27.126",192.168.27.127
vPAC_server_cluster,100,192.168.27.128,/25,"192.168.27.129 - 192.168.27.254",192.168.27.255
